# FSAE course centreline, digitized from skidpad_autocross_2026.png
# source_md5=ba199c283f630d51bc19b72da9b0f615
# grid_px=12.000 grid_ft=25.0 m_per_px=0.63500  (AUTO-CALIBRATED from the sheet)
# length_m=674.0  closed=False  R_min_m=4.50
# slalom_spacings_verified=False
s_m,x_m,y_m,kappa_1perm
151.0000,356.3505,16.6636,0.023617
152.0000,357.3073,16.9542,0.006889
153.0000,358.2621,17.2513,0.008824
154.0000,359.2195,17.5401,0.023744
155.0000,360.1834,17.8062,0.037970
156.0000,361.1567,18.0354,0.051358
157.0000,362.1404,18.2146,0.063453
158.0000,363.1333,18.3312,0.073526
159.0000,364.1321,18.3749,0.073482
160.0000,365.1316,18.3466,0.054338
161.0000,366.1281,18.2642,0.038146
162.0000,367.1207,18.1434,0.024252
163.0000,368.1101,17.9985,0.011848
164.0000,369.0978,17.8418,0.000240
165.0000,370.0854,17.6850,0.011442
166.0000,371.0748,17.5396,0.023751
167.0000,372.0673,17.4177,0.037470
168.0000,373.0636,17.3333,0.053376
169.0000,374.0630,17.3024,0.072123
170.0000,375.0618,17.3434,0.088624
171.0000,376.0530,17.4729,0.109496
172.0000,377.0237,17.7105,0.137347
173.0000,377.9523,18.0788,0.171255
174.0000,378.8039,18.6000,0.185644
175.0000,379.5520,19.2622,0.112939
176.0000,380.2204,20.0057,0.082476
177.0000,380.8566,20.7772,0.068354
178.0000,381.5126,21.5317,0.101787
179.0000,382.2421,22.2144,0.166565
180.0000,383.0700,22.7734,0.148558
181.0000,383.9714,23.2045,0.121440
182.0000,384.9186,23.5235,0.093652
183.0000,385.8919,23.7518,0.076301
184.0000,386.8788,23.9120,0.086372
185.0000,387.8726,24.0227,0.087560
186.0000,388.8696,24.0997,0.079741
187.0000,389.8680,24.1562,0.063722
188.0000,390.8669,24.2034,0.041148
189.0000,391.8658,24.2503,0.014342
190.0000,392.8647,24.2978,0.013939
191.0000,393.8636,24.3437,0.040786
192.0000,394.8627,24.3857,0.063438
193.0000,395.8621,24.4217,0.079566
194.0000,396.8617,24.4495,0.087510
195.0000,397.8615,24.4669,0.086454
196.0000,398.8615,24.4714,0.076505
197.0000,399.8615,24.4606,0.058688
198.0000,400.8610,24.4317,0.034835
199.0000,401.8597,24.3818,0.024397
200.0000,402.8570,24.3076,0.028153
201.0000,403.8517,24.2051,0.046856
202.0000,404.8425,24.0705,0.068095
203.0000,405.8276,23.8990,0.082330
204.0000,406.8045,23.6855,0.088097
205.0000,407.7696,23.4243,0.084804
206.0000,408.7186,23.1094,0.072788
207.0000,409.6455,22.7346,0.072194
208.0000,410.5428,22.2937,0.080637
209.0000,411.4023,21.7833,0.071130
210.0000,412.2237,21.2131,0.049676
211.0000,413.0159,20.6029,0.052631
212.0000,413.7910,19.9712,0.072323
213.0000,414.5633,19.3358,0.084576
214.0000,415.3478,18.7159,0.088130
215.0000,416.1602,18.1330,0.082619
216.0000,417.0143,17.6136,0.107455
217.0000,417.9188,17.1886,0.136337
218.0000,418.8721,16.8897,0.154113
219.0000,419.8592,16.7351,0.124454
220.0000,420.8583,16.7046,0.094585
221.0000,421.8559,16.7692,0.071635
222.0000,422.8464,16.9054,0.054358
223.0000,423.8280,17.0955,0.041207
224.0000,424.8010,17.3263,0.030923
225.0000,425.7663,17.5871,0.022576
226.0000,426.7255,17.8698,0.015490
227.0000,427.6802,18.1673,0.009158
228.0000,428.6322,18.4737,0.003170
229.0000,429.5831,18.7830,0.001326
230.0000,430.5344,19.0913,0.003469
231.0000,431.4868,19.3963,0.005724
232.0000,432.4409,19.6958,0.008103
233.0000,433.3974,19.9875,0.010626
234.0000,434.3569,20.2690,0.013307
